anomaly_score;number_of_requests;weekday_id;dateminute
1,06921291876;93981;0;201901071938
0,940185462641;79826;0;201812311906
0,802259682671;25867;3;201901030239
0,75178811782;36765;0;201812240514
1,07766724622;125552;0;201901071908
0,937215556674;188200;0;201812311402
1,12046954932;245655;4;201901041659
0,743156408366;21858;1;201812250507
0,810757150325;166560;6;201812301620
0,904860164448;30870;1;201901010347
0,741842152277;34842;4;201812280053
0,765491892041;154885;2;201812261645
0,894354655788;23273;3;201901030049
0,727429420446;64186;1;201812250846
0,798794008415;169537;4;201901040914
0,747661083116;34658;3;201812270053
0,717318964924;34658;4;201812282231
0,801731716741;168156;6;201812301156
0,827008434891;86238;5;201812291927
