id;value;weekday_string;weekday
2018-12-22_00-37;48306;Samstag;5
2018-12-22_00-38;49892;Samstag;5
2018-12-22_00-39;46575;Samstag;5
2018-12-22_00-40;49175;Samstag;5
2018-12-22_00-41;47424;Samstag;5
2018-12-22_00-42;45571;Samstag;5
2018-12-22_00-43;50152;Samstag;5
2018-12-22_00-44;46602;Samstag;5
2018-12-22_00-45;45190;Samstag;5
2018-12-22_00-46;47384;Samstag;5
2018-12-22_00-47;47938;Samstag;5
2018-12-22_00-48;44876;Samstag;5
2018-12-22_00-49;47216;Samstag;5
2018-12-22_00-50;47129;Samstag;5
2018-12-22_00-51;45169;Samstag;5
2018-12-22_00-52;46689;Samstag;5
2018-12-22_00-53;45535;Samstag;5
2018-12-22_00-54;46793;Samstag;5
2018-12-22_00-55;45625;Samstag;5
2018-12-22_00-56;44967;Samstag;5
2018-12-22_00-57;44930;Samstag;5
2018-12-22_00-58;46622;Samstag;5
2018-12-22_00-59;45980;Samstag;5
2018-12-22_01-00;45427;Samstag;5
2018-12-22_01-01;45490;Samstag;5
2018-12-22_01-02;43670;Samstag;5
2018-12-22_01-03;45314;Samstag;5
2018-12-22_01-04;45447;Samstag;5
2018-12-22_01-05;42260;Samstag;5
2018-12-22_01-06;45985;Samstag;5
2018-12-22_01-07;45213;Samstag;5
2018-12-22_01-08;41461;Samstag;5
2018-12-22_01-09;43394;Samstag;5
2018-12-22_01-10;46899;Samstag;5
2018-12-22_01-11;40388;Samstag;5
2018-12-22_01-12;44544;Samstag;5
2018-12-22_01-13;43304;Samstag;5
2018-12-22_01-14;41664;Samstag;5
2018-12-22_01-15;44398;Samstag;5
2018-12-22_01-16;42923;Samstag;5
2018-12-22_01-17;41341;Samstag;5
2018-12-22_01-18;42871;Samstag;5
2018-12-22_01-19;43500;Samstag;5
2018-12-22_01-20;40629;Samstag;5
2018-12-22_01-21;42141;Samstag;5
2018-12-22_01-22;43080;Samstag;5
2018-12-22_01-23;41338;Samstag;5
2018-12-22_01-24;43082;Samstag;5
2018-12-22_01-25;42053;Samstag;5
2018-12-22_01-26;40662;Samstag;5
2018-12-22_01-27;41621;Samstag;5
2018-12-22_01-28;41249;Samstag;5
2018-12-22_01-29;40828;Samstag;5
2018-12-22_01-30;41343;Samstag;5
2018-12-22_01-31;40785;Samstag;5
2018-12-22_01-32;42185;Samstag;5
2018-12-22_01-33;39925;Samstag;5
2018-12-22_01-34;40265;Samstag;5
2018-12-22_01-35;41242;Samstag;5
2018-12-22_01-36;40484;Samstag;5
2018-12-22_01-37;39793;Samstag;5
2018-12-22_01-38;40048;Samstag;5
2018-12-22_01-39;41009;Samstag;5
2018-12-22_01-40;39602;Samstag;5
2018-12-22_01-41;40631;Samstag;5
2018-12-22_01-42;41791;Samstag;5
2018-12-22_01-43;38825;Samstag;5
2018-12-22_01-44;39532;Samstag;5
2018-12-22_01-45;40208;Samstag;5
2018-12-22_01-46;40061;Samstag;5
2018-12-22_01-47;40625;Samstag;5
2018-12-22_01-48;39030;Samstag;5
2018-12-22_01-49;38845;Samstag;5
2018-12-22_01-50;40422;Samstag;5
2018-12-22_01-51;39983;Samstag;5
2018-12-22_01-52;37714;Samstag;5
2018-12-22_01-53;39561;Samstag;5
2018-12-22_01-54;40674;Samstag;5
2018-12-22_01-55;37262;Samstag;5
2018-12-22_01-56;39704;Samstag;5
2018-12-22_01-57;41793;Samstag;5
2018-12-22_01-58;37929;Samstag;5
2018-12-22_01-59;38743;Samstag;5
2018-12-22_02-00;39350;Samstag;5
2018-12-22_02-01;39509;Samstag;5
2018-12-22_02-02;36468;Samstag;5
2018-12-22_02-03;38826;Samstag;5
2018-12-22_02-04;39373;Samstag;5
2018-12-22_02-05;37234;Samstag;5
2018-12-22_02-06;38254;Samstag;5
2018-12-22_02-07;39914;Samstag;5
2018-12-22_02-08;36812;Samstag;5
2018-12-22_02-09;37770;Samstag;5
2018-12-22_02-10;39539;Samstag;5
2018-12-22_02-11;37440;Samstag;5
2018-12-22_02-12;38781;Samstag;5
2018-12-22_02-13;39464;Samstag;5
2018-12-22_02-14;36532;Samstag;5
2018-12-22_02-15;38018;Samstag;5
2018-12-22_02-16;37988;Samstag;5
2018-12-22_02-17;36608;Samstag;5
2018-12-22_02-18;36297;Samstag;5
2018-12-22_02-19;38144;Samstag;5
2018-12-22_02-20;36530;Samstag;5
2018-12-22_02-21;37632;Samstag;5
2018-12-22_02-22;37094;Samstag;5
2018-12-22_02-23;37098;Samstag;5
2018-12-22_02-24;37409;Samstag;5
2018-12-22_02-25;36767;Samstag;5
2018-12-22_02-26;36860;Samstag;5
2018-12-22_02-27;37539;Samstag;5
2018-12-22_02-28;35107;Samstag;5
2018-12-22_02-29;38831;Samstag;5
2018-12-22_02-30;38358;Samstag;5
2018-12-22_02-31;35623;Samstag;5
2018-12-22_02-32;36486;Samstag;5
2018-12-22_02-33;36138;Samstag;5
2018-12-22_02-34;35938;Samstag;5
2018-12-22_02-35;37529;Samstag;5
2018-12-22_02-36;34953;Samstag;5
2018-12-22_02-37;36925;Samstag;5
2018-12-22_02-38;38847;Samstag;5
2018-12-22_02-39;32969;Samstag;5
2018-12-22_02-40;36702;Samstag;5
2018-12-22_02-41;38610;Samstag;5
2018-12-22_02-42;34322;Samstag;5
